Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction,Index
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Last Bastion"," Yssaril Tribes"," L1Z1X Mindnet"," Ghosts of Creuss"," Mentak Coalition"," Emirates of Hacan","","","Yssaril Tribes",250
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Vuil'raith Cabal"," Last Bastion"," Deepwrought Scholarate"," Keleres ~ Mentak"," Embers of Muaat"," Ral Nel Consortium","","","Embers of Muaat",252
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Emirates of Hacan"," Vuil'raith Cabal"," Winnu"," Universities of Jol-Nar"," Nomad"," Ghosts of Creuss","","","Winnu",254
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naaz-Rokha Alliance"," Nomad"," Emirates of Hacan"," Last Bastion"," Argent Flight"," Crimson Rebellion","","","Argent Flight",256
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yssaril Tribes"," Naaz-Rokha Alliance"," L1Z1X Mindnet"," Emirates of Hacan"," Universities of Jol-Nar"," Arborec","","","Yssaril Tribes",261
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Xxcha Kingdom"," Naalu Collective"," Sardakk N'orr"," Embers of Muaat"," Firmament"," Emirates of Hacan","","","Sardakk N'orr",263
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Empyrean"," Firmament"," Ral Nel Consortium"," Argent Flight"," Mahact Gene-Sorcerers"," Ghosts of Creuss","","","Ghosts of Creuss",265
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ghosts of Creuss"," Nomad"," Mahact Gene-Sorcerers"," Sardakk N'orr"," Firmament"," Universities of Jol-Nar","","","Ghosts of Creuss",268
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ghosts of Creuss"," Nomad"," Deepwrought Scholarate"," Ral Nel Consortium"," Yssaril Tribes"," L1Z1X Mindnet","","","Yssaril Tribes",273
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Firmament"," Nekro Virus"," Keleres ~ Mentak"," Ghosts of Creuss"," Mahact Gene-Sorcerers"," L1Z1X Mindnet","","","Mahact Gene-Sorcerers",274
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Clan of Saar"," Winnu"," Vuil'raith Cabal"," Mahact Gene-Sorcerers"," Sardakk N'orr"," Firmament","","","Winnu",275
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naaz-Rokha Alliance"," Vuil'raith Cabal"," Barony of Letnev"," Argent Flight"," Sardakk N'orr"," Nekro Virus","","","Naaz-Rokha Alliance",279
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Vuil'raith Cabal"," Last Bastion"," Mahact Gene-Sorcerers"," Winnu"," Mentak Coalition"," Naalu Collective","","","Naalu Collective",282
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naalu Collective"," Ral Nel Consortium"," Naaz-Rokha Alliance"," Firmament"," Winnu"," Keleres ~ Mentak","","","Naaz-Rokha Alliance",284
